word,normalized_word,phonetic_uk,phonetic_us,source,status,confidence,review_note,occurrence_count,sample_occurrences
abroad,abroad,/əˈbrɔːd/,/əˈbrɔːd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/八年级上/Lesson 3|沪教版/八年级下/Unit 6|沪教版/八年级下/Unit 8|沪教版/九年级上/Unit 3|沪教版/九年级上/Unit 8
absent,absent,/ˈæbsənt/,/ˈæbsənt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/九年级全一册/Lesson 7|北师大版/九年级全一册/Unit 9|冀教版/九年级全一册/Unit 9|科普版/八年级上/Unit 3|科普版/九年级下/Unit 6
absent from,absentfrom,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级下/Unit 2
absolutely,absolutely,/ˌæbsəˈluːtli/,/ˌæbsəˈluːtli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪教版/七年级上/Unit 8|沪外教版/九年级上/Unit 6|冀教版/八年级下/Unit 5
absorb,absorb,/əbˈzɔːb/,/əbˈzɔːrb/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 4
a bunch,abunch,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,科普版/九年级上/Unit 4
accent,accent,/əkˈsent/,/əkˈsent/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级上/Unit 3
accept,accept,/ækˈsept/,/ækˈsept/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/八年级上/Lesson 3|沪教版/八年级上/Unit 5|沪教版/八年级上/Unit 8|沪外教版/七年级下/Unit 7|科普版/八年级上/Unit 4
accident,accident,/ˈæksədənt/,/ˈæksədənt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,9,北师大版/七年级下/Lesson 3|沪教版/七年级下/Unit 3|沪教版/七年级下/Unit 8|沪外教版/七年级上/Unit 5|冀教版/八年级下/Unit 2
accidental,accidental,/ˌæksəˈdentəl/,/ˌæksəˈdentəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/九年级全一册/Unit 6
accidentally,accidentally,/ˌæksəˈdentəli/,/ˌæksəˈdentəli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/八年级上/Lesson 3|沪外教版/八年级下/Unit 6
accompany,accompany,/əˈkʌmpəni/,/əˈkʌmpəni/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 5
according,according,/əˈkɔːdɪŋ/,/əˈkɔːrdɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,科普版/九年级上/Unit 1|人教版/八年级上/Unit 5
according to,accordingto,/ako:diy tu:/,/ako:diy tu:/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/八年级下/Unit 3|沪教版/七年级下/Unit 3|沪教版/七年级下/Unit 8|冀教版/八年级下/Unit 4|冀教版/九年级全一册/Unit 8
accordion,accordion,/əˈkɔːdiən/,/əˈkɔːrdiən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级上/Unit 1
account,account,/əˈkaʊnt/,/əˈkaʊnt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,4,沪外教版/八年级下/Unit 7|沪外教版/九年级上/Unit 3|科普版/八年级下/Unit 9|译林版/七年级上/Unit 7
accurate,accurate,/ˈækjəət/,/ˈækjərət/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 6
accuse,accuse,/əˈkjuːz/,/əˈkjuːz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪教版/九年级上/Unit 8
accuse l'kjuz,accuselkjuz,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪教版/九年级上/Unit 8
acdj.,acdj,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,3,科普版/八年级上/Unit 3|科普版/八年级上/Unit 4|科普版/八年级下/Unit 9
ache,ache,/ˈeɪk/,/ˈeɪk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,6,沪教版/八年级下/Unit 1|沪教版/八年级下/Unit 8|沪外教版/八年级上/Unit 8|科普版/八年级上/Unit 3|人教版/八年级下/Unit 2
A check sth out,achecksthout,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 3
A checkup,acheckup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 3
A chemical,achemical,/kemikal/,/kemikal/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 2
achieve,achieve,/əˈtʃiːv/,/əˈtʃiːv/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/八年级下/Lesson 1|沪教版/七年级下/Unit 7|沪教版/七年级下/Unit 8|沪外教版/七年级下/Unit 5|冀教版/八年级下/Unit 7
achieve l'tji:v/ n.,achieveltjivn,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级上/Unit 6
achievement,achievement,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/七年级下/Lesson 3|北师大版/九年级全一册/Unit 4|北师大版/九年级全一册/Unit 9|沪教版/九年级上/Unit 2|沪教版/九年级上/Unit 8
aching,aching,/ˈeɪkɪŋ/,/ˈeɪkɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/九年级全一册/Unit 1
acji,acji,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级下/Unit 3
A coastal,acoastal,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 2
A colourful,acolourful,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 3
A come into being,acomeintobeing,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 5
A communicate,acommunicate,/ka'mju:nrkert/,/ka'mju:nrkert/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 1
A connect,aconnect,/ka'nekt/,/ka'nekt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 1
a couple of,acoupleof,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,外研版/九年级上/Module 4
A courage,acourage,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 5
A cover,acover,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 5
acquire,acquire,/əˈkwaɪə/,/əˈkwaɪər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪教版/八年级下/Unit 6|沪教版/八年级下/Unit 8
across,across,/əˈkrɔːs/,/əˈkrɔːs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,沪教版/七年级上/Unit 6|沪教版/七年级上/Unit 8|冀教版/七年级上/Unit 8|教科版/七年级上/Unit 8|科普版/七年级下/Unit 9
across from,acrossfrom,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级上/Unit 3
act,act,/ˈækt/,/ˈækt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/七年级下/Lesson 3|沪教版/七年级上/Unit 7|沪教版/七年级上/Unit 8|沪外教版/八年级上/Unit 1|冀教版/七年级下/Unit 3
act as,actas,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪教版/九年级下/Unit 6
acting,acting,/ˈæktɪŋ/,/ˈæktɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,冀教版/七年级下/Unit 3|教科版/七年级下/Unit 3
action,action,/ˈækʃən/,/ˈækʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,13,北师大版/八年级上/Lesson 1|北师大版/九年级全一册/Unit 4|北师大版/九年级全一册/Unit 9|沪教版/九年级上/Unit 2|沪教版/九年级上/Unit 8
action film,actionfilm,/rau'meentrk/,/rau'meentrk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,译林版/九年级上/Unit 7
active,active,/ˈæktɪv/,/ˈæktɪv/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/七年级上/Lesson 1|沪教版/七年级下/Unit 1|沪教版/七年级下/Unit 8|沪外教版/七年级上/Unit 3|冀教版/七年级下/Unit 3
activity,activity,/ækˈtɪvəti/,/ækˈtɪvəti/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/七年级上/Lesson 2|沪教版/七年级上/Unit 2|沪教版/七年级上/Unit 8|沪外教版/七年级上/Unit 1|冀教版/七年级上/Unit 7
actor,actor,/ˈæktə/,/ˈæktər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,科普版/八年级上/Unit 1|人教版/七年级下/Unit 7|译林版/九年级上/Unit 7
act out,actout,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级上/Unit 6
actress,actress,/ˈæktrəs/,/ˈæktrəs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,科普版/八年级上/Unit 1|科普版/九年级下/Unit 6|人教版/八年级上/Unit 6|外研版/八年级上/Unit 1|译林版/九年级上/Unit 7
actual,actual,/ˈæktʃəwəl/,/ˈæktʃəwəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/八年级下/Unit 9
actually,actually,/ˈækˌtʃuːəli/,/ˈækˌtʃuːəli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,9,北师大版/七年级下/Lesson 3|沪教版/七年级下/Unit 8|沪教版/七年级下/Unit 8|沪外教版/七年级下/Unit 7|冀教版/八年级上/Unit 4
acupuncture,acupuncture,/ˈækjuːˌpʌŋktʃə/,/ˈækjuːˌpʌŋktʃər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 2
A customer,acustomer,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 5
acv.,acv,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,4,沪教版/七年级上/Unit 6|沪教版/七年级上/Unit 6|沪教版/八年级下/Unit 8|人教版/七年级上/Unit 5
A.D.,ad,/ei 'dix/,/ei 'dix/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级下/Unit 5
Adam,adam,/ˈædəm/,/ˈædəm/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/七年级下/Unit 5
adapt,adapt,/əˈdæpt/,/əˈdæpt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/九年级全一册/Unit 9
adaptation,adaptation,/ˌædəpˈteɪʃən/,/ˌædəpˈteɪʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪教版/八年级上/Unit 5|沪教版/八年级上/Unit 8
A date back to,adatebackto,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Unit 5
add,add,/ˈæd/,/ˈæd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,7,北师大版/七年级下/Lesson 3|沪教版/七年级上/Unit 8|冀教版/八年级上/Unit 4|科普版/七年级下/Unit 9|人教版/八年级上/Unit 2
adding machine,addingmachine,/ed'mare/,/ed'mare/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/九年级全一册/Lesson 7|北师大版/九年级全一册/Unit 9
addition,addition,/əˈdɪʃən/,/əˈdɪʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,译林版/八年级下/Unit 7
address,address,/ˈæˌdres/,/ˈæˌdres/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/八年级下/Lesson 1|沪教版/七年级下/Unit 2|沪教版/七年级下/Unit 8|沪外教版/八年级上/Unit 7|冀教版/八年级上/Unit 8
add sth to,addsthto,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 6
add sth to sth,addsthtosth,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级上/Unit 2
add. to.,addto,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级上/Unit 8|沪教版/七年级上/Unit 8
ade.,ade,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,科普版/七年级上/Unit 4|科普版/九年级上/Unit 1
Adelaide,adelaide,/ˈædəˌleɪd/,/ˈædəˌleɪd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Book Vocabulary
A delicious,adelicious,/dr'ljos/,/dr'ljos/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 3
A depend,adepend,/dr'pend/,/dr'pend/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 3
adh.,adh,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,科普版/九年级上/Unit 1
adi.,adi,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,科普版/七年级下/Unit 8|人教版/七年级上/Unit 4
A directly,adirectly,/di'rektli/,/di'rektli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 3
A director of studies,adirectorofstudies,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 3
A divide,adivide,/dr'vard/,/dr'vard/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 5
A division,adivision,/dr'vion/,/dr'vion/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 5
adj.,adj,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,3,科普版/九年级下/Unit 5|人教版/七年级下/Unit 6|人教版/九年级全一册/Unit 9
Adjective,adjective,/ˈædʒɪktɪv/,/ˈædʒɪktɪv/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪外教版/八年级下/Unit 7|冀教版/九年级全一册/Unit 4
adji.,adji,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,北师大版/九年级全一册/Unit 9
adji. & pron.,adjipron,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级上/Unit 7
adk.， pron. & conj.,adkpronconj,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级上/Unit 7
adl.,adl,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,冀教版/七年级上/Unit 8|教科版/七年级上/Unit 8
adlv.,adlv,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,冀教版/七年级上/Unit 5|教科版/七年级上/Unit 5
admiration,admiration,/ˌædməˈeɪʃən/,/ˌædmərˈeɪʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪教版/七年级上/Unit 1|沪教版/七年级上/Unit 8
admire,admire,/ædˈmaɪ/,/ædˈmaɪr/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/八年级上/Unit 4|沪教版/七年级下/Unit 7|沪教版/七年级下/Unit 8|沪外教版/八年级上/Unit 6|冀教版/八年级上/Unit 2
admit,admit,/ədˈmɪt/,/ədˈmɪt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪教版/九年级下/Unit 2|沪教版/九年级下/Unit 6|冀教版/九年级全一册/Unit 4
adn.，pron.,adnpron,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,科普版/八年级上/Unit 2
ado.,ado,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,科普版/八年级上/Unit 4|科普版/八年级下/Unit 8
adore,adore,/əˈdɔː/,/əˈdɔːr/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 5
adr,adr,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,冀教版/七年级下/Unit 1
A draw up,adrawup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 1
A Dream of Red Mansions,adreamofredmansions,/'maenjhz/,/'maenjhz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级下/Unit 7
adult,adult,/əˈdʌlt/,/əˈdʌlt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/八年级上/Lesson 1|沪教版/七年级上/Unit 6|沪教版/七年级上/Unit 8|沪外教版/九年级下/Unit 4|冀教版/八年级下/Unit 2
adv.,adv,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,4,科普版/九年级下/Unit 5|人教版/七年级下/Unit 7|人教版/八年级上/Unit 2|人教版/九年级全一册/Unit 9
advance,advance,/ədˈvæns/,/ədˈvæns/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级下/Unit 6
advanced,advanced,/ədˈvænst/,/ədˈvænst/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪教版/八年级下/Unit 3|沪教版/八年级下/Unit 8|沪外教版/九年级上/Unit 3
advantage,advantage,/ædˈvæntɪdʒ/,/ædˈvæntɪdʒ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,13,北师大版/八年级下/Lesson 3|北师大版/九年级全一册/Lesson 5|北师大版/九年级全一册/Unit 9|沪教版/八年级下/Unit 3|沪教版/八年级下/Unit 8
adventure,adventure,/ædˈventʃə/,/ædˈventʃər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,9,沪教版/七年级上/Unit 5|沪教版/七年级上/Unit 8|沪教版/九年级上/Unit 7|沪教版/九年级上/Unit 8|冀教版/八年级上/Unit 6
Adverb,adverb,/ˈædvəb/,/ˈædvərb/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/八年级下/Unit 7
adverbial clause of reason,adverbialclauseofreason,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 3
Adverbial clause of result,adverbialclauseofresult,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/八年级下/Unit 7
adverbial clause of time,adverbialclauseoftime,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 3
advertise,advertise,/ˈædvəˌtaɪz/,/ˈædvərˌtaɪz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/八年级下/Lesson 1|沪外教版/九年级上/Unit 3
advertisement,advertisement,/ædˈvɜːtəzmənt/,/ædˈvɜːrtəzmənt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/八年级上/Lesson 3|外研版/八年级上/Unit 3
advice,advice,/ædˈvaɪs/,/ædˈvaɪs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,沪教版/七年级下/Unit 1|沪教版/七年级下/Unit 8|冀教版/七年级下/Unit 8|教科版/七年级下/Unit 8|科普版/七年级下/Unit 9
advice on how to learn,adviceonhowtolearn,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,科普版/九年级上/Unit 3
advise,advise,/ædˈvaɪz/,/ædˈvaɪz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,6,北师大版/八年级上/Lesson 3|沪教版/八年级上/Unit 8|冀教版/八年级下/Unit 8|科普版/八年级上/Unit 4|人教版/八年级下/Unit 3
advise ld'varz,adviseldvarz,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,译林版/八年级下/Unit 4
A eggshell,aeggshell,/'egfel/,/'egfel/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 4
Aelderly,aelderly,/eldali/,/eldali/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 2
Aend up,aendup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级上/Unit 4
aeography,aeography,/dsi'pgrati/,/dsi'pgrati/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪教版/七年级上/Unit 2
aerospace,aerospace,/ˈerəʊˌspeɪs/,/ˈeroʊˌspeɪs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级下/Unit 5
A fair,afair,/fea/,/fea/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 6
A farmland,afarmland,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/九年级下/Book Vocabulary
A fear,afear,/fra/,/fra/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 6
a few(,afew,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,3,北师大版/七年级下/Lesson 1|人教版/七年级下/Unit 3|译林版/七年级下/Unit 6
affect,affect,/əˈfekt/,/əˈfekt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,冀教版/八年级上/Unit 8|冀教版/九年级全一册/Unit 5|人教版/七年级下/Unit 6
afford,afford,/əˈfɔːd/,/əˈfɔːrd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/九年级全一册/Unit 6|北师大版/九年级全一册/Unit 9|沪教版/八年级下/Unit 8|沪教版/九年级上/Unit 8|冀教版/八年级下/Unit 7
afford 'ford,affordford,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪教版/八年级下/Unit 7
A fly,afly,/flar/,/flar/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 3
