word,normalized_word,chunks,phonics,rule_tags,status,confidence,review_note
a bird's eye view (of sth),abirdseyeviewofsth,a|b|ir|d|s|e|y|e|v|i|e|w|o|f|s|th,待复核|/b/|/ɜː/|/d/|待复核|待复核|待复核|待复核|/v/|待复核|待复核|/w/|待复核|/f/|待复核|待复核,letter:a|letter:b|grapheme:ir|letter:d|letter:s|letter:e|letter:y|letter:e|letter:v|letter:i|letter:e|letter:w|letter:o|letter:f|letter:s|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
a bit,abit,a|b|i|t,待复核|/b/|待复核|/t/,letter:a|letter:b|letter:i|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
a bit of everything,abitofeverything,a|b|i|t|o|f|e|v|er|y|th|i|ng,待复核|/b/|待复核|/t/|待复核|/f/|待复核|/v/|/ə/|待复核|待复核|待复核|/ŋ/,letter:a|letter:b|letter:i|letter:t|letter:o|letter:f|letter:e|letter:v|grapheme:er|letter:y|grapheme:th|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
able,able,a|b|l|e,待复核|/b/|/l/|silent,letter:a|letter:b|letter:l|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
abnormal,abnormal,a|b|n|or|m|a|l,待复核|/b/|/n/|/ɔː/|/m/|待复核|/l/,letter:a|letter:b|letter:n|grapheme:or|letter:m|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
aboriginal,aboriginal,a|b|or|i|g|i|n|a|l,待复核|/b/|/ɔː/|待复核|待复核|待复核|/n/|待复核|/l/,letter:a|letter:b|grapheme:or|letter:i|letter:g|letter:i|letter:n|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
a bottle of,abottleof,a|b|o|t|t|l|e|o|f,待复核|/b/|待复核|/t/|/t/|/l/|待复核|待复核|/f/,letter:a|letter:b|letter:o|letter:t|letter:t|letter:l|letter:e|letter:o|letter:f,needs_review,low,含多音字母或多音字母组合，需教研确认
above,above,a|b|o|v|e,待复核|/b/|待复核|/v/|silent,letter:a|letter:b|letter:o|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
above all,aboveall,a|b|o|v|ea|l|l,待复核|/b/|待复核|/v/|待复核|/l/|/l/,letter:a|letter:b|letter:o|letter:v|grapheme:ea|letter:l|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
A break up (with),abreakupwith,a|b|r|ea|k|u|p|w|i|th,待复核|/b/|/r/|待复核|/k/|待复核|/p/|/w/|待复核|待复核,letter:a|letter:b|letter:r|grapheme:ea|letter:k|letter:u|letter:p|letter:w|letter:i|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
abroad,abroad,a|b|r|oa|d,待复核|/b/|/r/|/əʊ/|/d/,letter:a|letter:b|letter:r|grapheme:oa|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
absent,absent,a|b|s|e|n|t,待复核|/b/|待复核|待复核|/n/|/t/,letter:a|letter:b|letter:s|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
absent from,absentfrom,a|b|s|e|n|t|f|r|o|m,待复核|/b/|待复核|待复核|/n/|/t/|/f/|/r/|待复核|/m/,letter:a|letter:b|letter:s|letter:e|letter:n|letter:t|letter:f|letter:r|letter:o|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
absolutely,absolutely,a|b|s|o|l|u|t|e|l|y,待复核|/b/|待复核|待复核|/l/|待复核|/t/|待复核|/l/|待复核,letter:a|letter:b|letter:s|letter:o|letter:l|letter:u|letter:t|letter:e|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
absorb,absorb,a|b|s|or|b,待复核|/b/|待复核|/ɔː/|/b/,letter:a|letter:b|letter:s|grapheme:or|letter:b,needs_review,low,含多音字母或多音字母组合，需教研确认
a bunch,abunch,a|b|u|n|ch,待复核|/b/|待复核|/n/|/tʃ/,letter:a|letter:b|letter:u|letter:n|grapheme:ch,needs_review,low,含多音字母或多音字母组合，需教研确认
accent,accent,a|c|c|e|n|t,待复核|待复核|待复核|待复核|/n/|/t/,letter:a|letter:c|letter:c|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
accept,accept,a|c|c|e|p|t,待复核|待复核|待复核|待复核|/p/|/t/,letter:a|letter:c|letter:c|letter:e|letter:p|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
accident,accident,a|c|c|i|d|e|n|t,待复核|待复核|待复核|待复核|/d/|待复核|/n/|/t/,letter:a|letter:c|letter:c|letter:i|letter:d|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
accidental,accidental,a|c|c|i|d|e|n|t|a|l,待复核|待复核|待复核|待复核|/d/|待复核|/n/|/t/|待复核|/l/,letter:a|letter:c|letter:c|letter:i|letter:d|letter:e|letter:n|letter:t|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
accidentally,accidentally,a|c|c|i|d|e|n|t|a|l|l|y,待复核|待复核|待复核|待复核|/d/|待复核|/n/|/t/|待复核|/l/|/l/|待复核,letter:a|letter:c|letter:c|letter:i|letter:d|letter:e|letter:n|letter:t|letter:a|letter:l|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
accompany,accompany,a|c|c|o|m|p|a|n|y,待复核|待复核|待复核|待复核|/m/|/p/|待复核|/n/|待复核,letter:a|letter:c|letter:c|letter:o|letter:m|letter:p|letter:a|letter:n|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
according,according,a|c|c|or|d|i|ng,待复核|待复核|待复核|/ɔː/|/d/|待复核|/ŋ/,letter:a|letter:c|letter:c|grapheme:or|letter:d|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
according to,accordingto,a|c|c|or|d|i|ng|t|o,待复核|待复核|待复核|/ɔː/|/d/|待复核|/ŋ/|/t/|待复核,letter:a|letter:c|letter:c|grapheme:or|letter:d|letter:i|grapheme:ng|letter:t|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
accordion,accordion,a|c|c|or|d|i|o|n,待复核|待复核|待复核|/ɔː/|/d/|待复核|待复核|/n/,letter:a|letter:c|letter:c|grapheme:or|letter:d|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
account,account,a|c|c|ou|n|t,待复核|待复核|待复核|待复核|/n/|/t/,letter:a|letter:c|letter:c|grapheme:ou|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
accurate,accurate,a|c|c|ur|a|t|e,待复核|待复核|待复核|/ɜː/|待复核|/t/|silent,letter:a|letter:c|letter:c|grapheme:ur|letter:a|letter:t|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
accuse,accuse,a|c|c|u|s|e,待复核|待复核|待复核|待复核|待复核|silent,letter:a|letter:c|letter:c|letter:u|letter:s|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
accuse l'kjuz,accuselkjuz,a|c|c|u|s|e|l|k|j|u|z,待复核|待复核|待复核|待复核|待复核|待复核|/l/|/k/|/dʒ/|待复核|/z/,letter:a|letter:c|letter:c|letter:u|letter:s|letter:e|letter:l|letter:k|letter:j|letter:u|letter:z,needs_review,low,含多音字母或多音字母组合，需教研确认
acdj.,acdj,a|c|d|j,待复核|待复核|/d/|/dʒ/,letter:a|letter:c|letter:d|letter:j,needs_review,low,含多音字母或多音字母组合，需教研确认
ache,ache,a|ch|e,待复核|/tʃ/|silent,letter:a|grapheme:ch|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A check sth out,achecksthout,a|ch|e|ck|s|th|ou|t,待复核|/tʃ/|待复核|/k/|待复核|待复核|待复核|/t/,letter:a|grapheme:ch|letter:e|grapheme:ck|letter:s|grapheme:th|grapheme:ou|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
A checkup,acheckup,a|ch|e|ck|u|p,待复核|/tʃ/|待复核|/k/|待复核|/p/,letter:a|grapheme:ch|letter:e|grapheme:ck|letter:u|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
A chemical,achemical,a|ch|e|m|i|c|a|l,待复核|/tʃ/|待复核|/m/|待复核|待复核|待复核|/l/,letter:a|grapheme:ch|letter:e|letter:m|letter:i|letter:c|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
achieve,achieve,a|ch|i|e|v|e,待复核|/tʃ/|待复核|待复核|/v/|silent,letter:a|grapheme:ch|letter:i|letter:e|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
achieve l'tji:v/ n.,achieveltjivn,a|ch|i|e|v|e|l|t|j|i|v|n,待复核|/tʃ/|待复核|待复核|/v/|待复核|/l/|/t/|/dʒ/|待复核|/v/|/n/,letter:a|grapheme:ch|letter:i|letter:e|letter:v|letter:e|letter:l|letter:t|letter:j|letter:i|letter:v|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
achievement,achievement,a|ch|i|e|v|e|m|e|n|t,待复核|/tʃ/|待复核|待复核|/v/|待复核|/m/|待复核|/n/|/t/,letter:a|grapheme:ch|letter:i|letter:e|letter:v|letter:e|letter:m|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
aching,aching,a|ch|i|ng,待复核|/tʃ/|待复核|/ŋ/,letter:a|grapheme:ch|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
acji,acji,a|c|j|i,待复核|待复核|/dʒ/|待复核,letter:a|letter:c|letter:j|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
A coastal,acoastal,a|c|oa|s|t|a|l,待复核|待复核|/əʊ/|待复核|/t/|待复核|/l/,letter:a|letter:c|grapheme:oa|letter:s|letter:t|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
A colourful,acolourful,a|c|o|l|ou|r|f|u|l,待复核|待复核|待复核|/l/|待复核|/r/|/f/|待复核|/l/,letter:a|letter:c|letter:o|letter:l|grapheme:ou|letter:r|letter:f|letter:u|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
A come into being,acomeintobeing,a|c|o|m|e|i|n|t|o|b|e|i|ng,待复核|待复核|待复核|/m/|待复核|待复核|/n/|/t/|待复核|/b/|待复核|待复核|/ŋ/,letter:a|letter:c|letter:o|letter:m|letter:e|letter:i|letter:n|letter:t|letter:o|letter:b|letter:e|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
A communicate,acommunicate,a|c|o|m|m|u|n|i|c|a|t|e,待复核|待复核|待复核|/m/|/m/|待复核|/n/|待复核|待复核|待复核|/t/|silent,letter:a|letter:c|letter:o|letter:m|letter:m|letter:u|letter:n|letter:i|letter:c|letter:a|letter:t|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A connect,aconnect,a|c|o|n|n|e|c|t,待复核|待复核|待复核|/n/|/n/|待复核|待复核|/t/,letter:a|letter:c|letter:o|letter:n|letter:n|letter:e|letter:c|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
a couple of,acoupleof,a|c|ou|p|l|e|o|f,待复核|待复核|待复核|/p/|/l/|待复核|待复核|/f/,letter:a|letter:c|grapheme:ou|letter:p|letter:l|letter:e|letter:o|letter:f,needs_review,low,含多音字母或多音字母组合，需教研确认
A courage,acourage,a|c|ou|r|a|g|e,待复核|待复核|待复核|/r/|待复核|待复核|silent,letter:a|letter:c|grapheme:ou|letter:r|letter:a|letter:g|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A cover,acover,a|c|o|v|er,待复核|待复核|待复核|/v/|/ə/,letter:a|letter:c|letter:o|letter:v|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
acquire,acquire,a|c|qu|ir|e,待复核|待复核|/kw/|/ɜː/|silent,letter:a|letter:c|grapheme:qu|grapheme:ir|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
across,across,a|c|r|o|s|s,待复核|待复核|/r/|待复核|待复核|待复核,letter:a|letter:c|letter:r|letter:o|letter:s|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
across from,acrossfrom,a|c|r|o|s|s|f|r|o|m,待复核|待复核|/r/|待复核|待复核|待复核|/f/|/r/|待复核|/m/,letter:a|letter:c|letter:r|letter:o|letter:s|letter:s|letter:f|letter:r|letter:o|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
act,act,a|c|t,待复核|待复核|/t/,letter:a|letter:c|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
act as,actas,a|c|t|a|s,待复核|待复核|/t/|待复核|待复核,letter:a|letter:c|letter:t|letter:a|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
acting,acting,a|c|t|i|ng,待复核|待复核|/t/|待复核|/ŋ/,letter:a|letter:c|letter:t|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
action,action,a|c|t|i|o|n,待复核|待复核|/t/|待复核|待复核|/n/,letter:a|letter:c|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
action film,actionfilm,a|c|t|i|o|n|f|i|l|m,待复核|待复核|/t/|待复核|待复核|/n/|/f/|待复核|/l/|/m/,letter:a|letter:c|letter:t|letter:i|letter:o|letter:n|letter:f|letter:i|letter:l|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
active,active,a|c|t|i|v|e,待复核|待复核|/t/|待复核|/v/|silent,letter:a|letter:c|letter:t|letter:i|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
activity,activity,a|c|t|i|v|i|t|y,待复核|待复核|/t/|待复核|/v/|待复核|/t/|待复核,letter:a|letter:c|letter:t|letter:i|letter:v|letter:i|letter:t|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
actor,actor,a|c|t|or,待复核|待复核|/t/|/ɔː/,letter:a|letter:c|letter:t|grapheme:or,needs_review,low,含多音字母或多音字母组合，需教研确认
act out,actout,a|c|t|ou|t,待复核|待复核|/t/|待复核|/t/,letter:a|letter:c|letter:t|grapheme:ou|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
actress,actress,a|c|t|r|e|s|s,待复核|待复核|/t/|/r/|待复核|待复核|待复核,letter:a|letter:c|letter:t|letter:r|letter:e|letter:s|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
actual,actual,a|c|t|u|a|l,待复核|待复核|/t/|待复核|待复核|/l/,letter:a|letter:c|letter:t|letter:u|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
actually,actually,a|c|t|u|a|l|l|y,待复核|待复核|/t/|待复核|待复核|/l/|/l/|待复核,letter:a|letter:c|letter:t|letter:u|letter:a|letter:l|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
acupuncture,acupuncture,a|c|u|p|u|n|c|t|ur|e,待复核|待复核|待复核|/p/|待复核|/n/|待复核|/t/|/ɜː/|silent,letter:a|letter:c|letter:u|letter:p|letter:u|letter:n|letter:c|letter:t|grapheme:ur|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A customer,acustomer,a|c|u|s|t|o|m|er,待复核|待复核|待复核|待复核|/t/|待复核|/m/|/ə/,letter:a|letter:c|letter:u|letter:s|letter:t|letter:o|letter:m|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
acv.,acv,a|c|v,待复核|待复核|/v/,letter:a|letter:c|letter:v,needs_review,low,含多音字母或多音字母组合，需教研确认
A.D.,ad,a|d,待复核|/d/,letter:a|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
Adam,adam,a|d|a|m,待复核|/d/|待复核|/m/,letter:a|letter:d|letter:a|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
adapt,adapt,a|d|a|p|t,待复核|/d/|待复核|/p/|/t/,letter:a|letter:d|letter:a|letter:p|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
adaptation,adaptation,a|d|a|p|t|a|t|i|o|n,待复核|/d/|待复核|/p/|/t/|待复核|/t/|待复核|待复核|/n/,letter:a|letter:d|letter:a|letter:p|letter:t|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
A date back to,adatebackto,a|d|a|t|e|b|a|ck|t|o,待复核|/d/|待复核|/t/|待复核|/b/|待复核|/k/|/t/|待复核,letter:a|letter:d|letter:a|letter:t|letter:e|letter:b|letter:a|grapheme:ck|letter:t|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
add,add,a|d|d,待复核|/d/|/d/,letter:a|letter:d|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
adding machine,addingmachine,a|d|d|i|ng|m|a|ch|i|n|e,待复核|/d/|/d/|待复核|/ŋ/|/m/|待复核|/tʃ/|待复核|/n/|silent,letter:a|letter:d|letter:d|letter:i|grapheme:ng|letter:m|letter:a|grapheme:ch|letter:i|letter:n|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
addition,addition,a|d|d|i|t|i|o|n,待复核|/d/|/d/|待复核|/t/|待复核|待复核|/n/,letter:a|letter:d|letter:d|letter:i|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
address,address,a|d|d|r|e|s|s,待复核|/d/|/d/|/r/|待复核|待复核|待复核,letter:a|letter:d|letter:d|letter:r|letter:e|letter:s|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
add sth to,addsthto,a|d|d|s|th|t|o,待复核|/d/|/d/|待复核|待复核|/t/|待复核,letter:a|letter:d|letter:d|letter:s|grapheme:th|letter:t|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
add sth to sth,addsthtosth,a|d|d|s|th|t|o|s|th,待复核|/d/|/d/|待复核|待复核|/t/|待复核|待复核|待复核,letter:a|letter:d|letter:d|letter:s|grapheme:th|letter:t|letter:o|letter:s|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
add. to.,addto,a|d|d|t|o,待复核|/d/|/d/|/t/|待复核,letter:a|letter:d|letter:d|letter:t|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
ade.,ade,a|d|e,待复核|/d/|silent,letter:a|letter:d|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
Adelaide,adelaide,a|d|e|l|ai|d|e,待复核|/d/|待复核|/l/|/eɪ/|/d/|silent,letter:a|letter:d|letter:e|letter:l|grapheme:ai|letter:d|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A delicious,adelicious,a|d|e|l|i|c|i|ou|s,待复核|/d/|待复核|/l/|待复核|待复核|待复核|待复核|待复核,letter:a|letter:d|letter:e|letter:l|letter:i|letter:c|letter:i|grapheme:ou|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
A depend,adepend,a|d|e|p|e|n|d,待复核|/d/|待复核|/p/|待复核|/n/|/d/,letter:a|letter:d|letter:e|letter:p|letter:e|letter:n|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
adh.,adh,a|d|h,待复核|/d/|/h/,letter:a|letter:d|letter:h,needs_review,low,含多音字母或多音字母组合，需教研确认
adi.,adi,a|d|i,待复核|/d/|待复核,letter:a|letter:d|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
A directly,adirectly,a|d|ir|e|c|t|l|y,待复核|/d/|/ɜː/|待复核|待复核|/t/|/l/|待复核,letter:a|letter:d|grapheme:ir|letter:e|letter:c|letter:t|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
A director of studies,adirectorofstudies,a|d|ir|e|c|t|or|o|f|s|t|u|d|i|e|s,待复核|/d/|/ɜː/|待复核|待复核|/t/|/ɔː/|待复核|/f/|待复核|/t/|待复核|/d/|待复核|待复核|待复核,letter:a|letter:d|grapheme:ir|letter:e|letter:c|letter:t|grapheme:or|letter:o|letter:f|letter:s|letter:t|letter:u|letter:d|letter:i|letter:e|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
A divide,adivide,a|d|i|v|i|d|e,待复核|/d/|待复核|/v/|待复核|/d/|silent,letter:a|letter:d|letter:i|letter:v|letter:i|letter:d|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
A division,adivision,a|d|i|v|i|s|i|o|n,待复核|/d/|待复核|/v/|待复核|待复核|待复核|待复核|/n/,letter:a|letter:d|letter:i|letter:v|letter:i|letter:s|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
adj.,adj,a|d|j,待复核|/d/|/dʒ/,letter:a|letter:d|letter:j,needs_review,low,含多音字母或多音字母组合，需教研确认
Adjective,adjective,a|d|j|e|c|t|i|v|e,待复核|/d/|/dʒ/|待复核|待复核|/t/|待复核|/v/|silent,letter:a|letter:d|letter:j|letter:e|letter:c|letter:t|letter:i|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
adji.,adji,a|d|j|i,待复核|/d/|/dʒ/|待复核,letter:a|letter:d|letter:j|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
adji. & pron.,adjipron,a|d|j|i|p|r|o|n,待复核|/d/|/dʒ/|待复核|/p/|/r/|待复核|/n/,letter:a|letter:d|letter:j|letter:i|letter:p|letter:r|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
adk.， pron. & conj.,adkpronconj,a|d|k|p|r|o|n|c|o|n|j,待复核|/d/|/k/|/p/|/r/|待复核|/n/|待复核|待复核|/n/|/dʒ/,letter:a|letter:d|letter:k|letter:p|letter:r|letter:o|letter:n|letter:c|letter:o|letter:n|letter:j,needs_review,low,含多音字母或多音字母组合，需教研确认
adl.,adl,a|d|l,待复核|/d/|/l/,letter:a|letter:d|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
adlv.,adlv,a|d|l|v,待复核|/d/|/l/|/v/,letter:a|letter:d|letter:l|letter:v,needs_review,low,含多音字母或多音字母组合，需教研确认
admiration,admiration,a|d|m|ir|a|t|i|o|n,待复核|/d/|/m/|/ɜː/|待复核|/t/|待复核|待复核|/n/,letter:a|letter:d|letter:m|grapheme:ir|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
admire,admire,a|d|m|ir|e,待复核|/d/|/m/|/ɜː/|silent,letter:a|letter:d|letter:m|grapheme:ir|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
admit,admit,a|d|m|i|t,待复核|/d/|/m/|待复核|/t/,letter:a|letter:d|letter:m|letter:i|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
adn.，pron.,adnpron,a|d|n|p|r|o|n,待复核|/d/|/n/|/p/|/r/|待复核|/n/,letter:a|letter:d|letter:n|letter:p|letter:r|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
ado.,ado,a|d|o,待复核|/d/|待复核,letter:a|letter:d|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
adore,adore,a|d|or|e,待复核|/d/|/ɔː/|silent,letter:a|letter:d|grapheme:or|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
adr,adr,a|d|r,待复核|/d/|/r/,letter:a|letter:d|letter:r,needs_review,low,含多音字母或多音字母组合，需教研确认
A draw up,adrawup,a|d|r|a|w|u|p,待复核|/d/|/r/|待复核|/w/|待复核|/p/,letter:a|letter:d|letter:r|letter:a|letter:w|letter:u|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
A Dream of Red Mansions,adreamofredmansions,a|d|r|ea|m|o|f|r|e|d|m|a|n|s|i|o|n|s,待复核|/d/|/r/|待复核|/m/|待复核|/f/|/r/|待复核|/d/|/m/|待复核|/n/|待复核|待复核|待复核|/n/|待复核,letter:a|letter:d|letter:r|grapheme:ea|letter:m|letter:o|letter:f|letter:r|letter:e|letter:d|letter:m|letter:a|letter:n|letter:s|letter:i|letter:o|letter:n|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
adult,adult,a|d|u|l|t,待复核|/d/|待复核|/l/|/t/,letter:a|letter:d|letter:u|letter:l|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
adv.,adv,a|d|v,待复核|/d/|/v/,letter:a|letter:d|letter:v,needs_review,low,含多音字母或多音字母组合，需教研确认
advance,advance,a|d|v|a|n|c|e,待复核|/d/|/v/|待复核|/n/|待复核|silent,letter:a|letter:d|letter:v|letter:a|letter:n|letter:c|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
advanced,advanced,a|d|v|a|n|c|e|d,待复核|/d/|/v/|待复核|/n/|待复核|待复核|/d/,letter:a|letter:d|letter:v|letter:a|letter:n|letter:c|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
advantage,advantage,a|d|v|a|n|t|a|g|e,待复核|/d/|/v/|待复核|/n/|/t/|待复核|待复核|silent,letter:a|letter:d|letter:v|letter:a|letter:n|letter:t|letter:a|letter:g|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
